leadercode,stname,Region,rolecode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas,last_dynamicage
12,Yemen [South],Middle East,486.0,,,,,Abdul Fattah Ismail,Abdul Fattah Ismail,Abdul Fattah,Ismail,,,Yemen(S) vs YSP,Yemeni Socialist Party,YSP,,Male,1936.0,1986.0,1.0,"Hujairiah Region, North Yemen",49.0,50.0,Unclear,1.0,Obtained Bachelor's,Education,Teaching,,0.0,0.0,0.0,,0.0,Islam,0.0,1.0,0.0,0.0,Career politician,0.0,1.0,,1.0,1.0,1.0,4.0,Bachelor's,Yemen,0.0,0.0,2.0,,0.0,KIA,Arabic,0.0,0.0,Complete,1470,1986.0-1986.0,1.0,1883,1.0,1.0,1986.0,1.0,1986.0,164.0,564.0,1167.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,30981.0,680.0,0.0,0.0,0.0,1.0,0.0,50.0
13,Algeria,Northern Africa,23.0,,,,,Abdul Malik Drukdal,Abdul Malik Drukdal,Abdul Malik,Drukdal,Abu Mus'ab Abdul Wadud,,Algeria vs GSPC (AQIM),Tanzim al-Qaeda fi Bilad al-Maghreb al-Islami/Groupe Salafiste pour la Prédication et le Combat (GSPC),al-Qaeda in the Islamic Maghreb (AQIM)/Salafi Group for Preaching and Fighting,54.0,Male,1970.0,,0.0,"Mefta, Blidad Region, Algeria",34.0,34.0,Unclear,0.0,Obtained Bachelor's,Mathematics and Chemistry,Science,Math,0.0,0.0,0.0,,0.0,Islam,0.0,0.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Arabic,0.0,0.0,Complete,167,2004.0-2011.0,79.0,1110,3.0,6.0,2004.0,12.0,2011.0,191.0,4.0,1391.0,1.0,1.0,0.0,1.0,2.0,2.0,183.0,99.0,95.0,38.0,0.0,0.0,1.0,0.0,1,0.0,-2.0,1961.0,615.0,1.0,0.0,0.0,1.0,0.0,41.0
14,Iran,Middle East,227.0,,,,Emir,Abdul Malik Rigi,Abdul Malik Rigi,Abdul Malik,Rigi,Abdul Malik Baloch,,Iran vs Jundullah,Jundallah,Soldiers of Allah,530.0,Male,1983.0,2010.0,1.0,"Sistan & Balochistan, Iran",20.0,23.0,Founded/Co-founded,0.0,Finished secondary,Islam,Religion,,0.0,0.0,1.0,,1.0,Islam,0.0,0.0,0.0,0.0,Activist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,Executed,"Balochi, Farsi",0.0,0.0,Complete,146,2006.0-2010.0,10.0,908,1.0,1.0,2006.0,2.0,2010.0,143.0,640.0,1153.0,1.0,1.0,0.0,0.0,1.0,2.0,117.0,97.0,8.0,5.0,0.0,0.0,0.0,1.0,1,0.0,-4.0,11419.0,630.0,0.0,0.0,0.0,1.0,0.0,27.0
15,Afghanistan,Central Asia,9.0,,,,,Abdul Rabb al-Rasul Sayyaf,Abdul al-Rasul Sayyaf,Abdul,Sayyaf,,,Afghanistan vs Ittihad,Ittihad,,,Male,1946.0,,0.0,"Paghman, Kabul Province, Afghanistan",35.0,35.0,Founded/Co-founded,0.0,Obtained Master's,Islam (Hadith),Religion,,0.0,0.0,0.0,,0.0,Islam,0.0,1.0,0.0,0.0,Education,0.0,1.0,1.0,0.0,1.0,1.0,2.0,Master's,Egypt,0.0,0.0,2.0,1.0,0.0,,"Pashto, Arabic, Dari, English, Urdu",1.0,1.0,Complete,29,1981.0-1988.0,36.0,52,1.0,7.0,1981.0,12.0,1988.0,137.0,735.0,1139.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,-3.0,908.0,700.0,0.0,1.0,0.0,0.0,0.0,42.0
16,Iran,Middle East,226.0,,,,,Abdul Rahman Haji Ahmadi,Haji Ahmadi,Haji,Ahmadi,,,Iran vs JPAK,Party of Free Existence in Kurdistan (PJAK)/East Kurdistan Defense Forces (HRK),PJAK,194.0,Male,1941.0,,,Iran,63.0,64.0,Founded/Co-founded,0.0,Obtained Bachelor's,Agricultural Engineer,Engineering,Agriculture,,,,,,,,,0.0,0.0,Engineering,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Kurdish,0.0,0.0,Incomplete,575,2005.0-2011.0,28.0,903,1.0,1.0,2005.0,12.0,2011.0,143.0,459.0,1152.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-4.0,11370.0,630.0,0.0,0.0,0.0,1.0,0.0,70.0
17,Afghanistan,Central Asia,12.0,,,,,Abdul Rashid Dostum,Abdul Rashid Dostum,Abdul Rashid,Dostum,,,Afghanistan vs Junbish-I Milli-yi Islami,Junbish-I Milli-yi Islami,,,Male,1954.0,,0.0,"Khojah Dukoh, Djodzhan Province, Afghanistan",37.0,39.0,Founded/Co-founded,0.0,Obtained Bachelor's,Military Studies,Military,,0.0,0.0,1.0,31.0,1.0,Islam,0.0,0.0,0.0,0.0,Laborer,1.0,1.0,1.0,0.0,0.0,1.0,4.0,Bachelor's,Soviet Union,1.0,0.0,2.0,0.0,0.0,,"Dari, Arabic",0.0,0.0,Complete,1770,1993.0-1995.0,6.0,65,1.0,3.0,1993.0,12.0,1995.0,137.0,422.0,1144.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-3.0,709.0,700.0,0.0,1.0,0.0,0.0,0.0,41.0
18,Sudan,Northern Africa,437.0,,,,,Abdul Wahid al-Nur,Abdul Wahid al-Nur,Abdul Wahid,al-Nur,,,Sudan vs SLM/A,Sudan Liberation Movement/Army,SLM/A,,Male,1968.0,,0.0,"Zalingei, West Darfur, Sudan",24.0,35.0,Founded/Co-founded,0.0,Finished secondary,,,,0.0,0.0,0.0,,0.0,Islam,,0.0,0.0,0.0,Activist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,"Fur, English",1.0,0.0,Complete,295,2003.0-2011.0,37.0,1682,1.0,4.0,2003.0,12.0,2011.0,113.0,433.0,1316.0,1.0,2.0,1.0,1.0,2.0,1.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,0.0,-2.0,2308.0,625.0,0.0,0.0,0.0,1.0,0.0,43.0
19,Ethiopia,Sub-Saharan Africa,162.0,,,,,Abdulahi Hassan Mahmud,Abdulahi Hassan Mahmud,Abdulahi,Mahmud,,,Ethiopia vs WSLF,,,,Male,,,,,,,Seized power,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,3110,1976.0-1981.0,21.0,642,1.0,9.0,1976.0,2.0,1981.0,133.0,522.0,1345.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3.0,688.0,530.0,1.0,0.0,0.0,0.0,0.0,
20,Comoros,Sub-Saharan Africa,111.0,,,,,Abdullah Ibrahim,Abdullah Ibrahim,Abdullah,Ibrahim,,,Comoros vs MPA,Republic of Anjouan,,,Male,1922.0,2018.0,1.0,"Mutsamudu, Comoros",75.0,75.0,,0.0,,,,,,,1.0,,1.0,Islam,,,0.0,0.0,Business/entrepeneurship,1.0,,,,,,,,,,,,0.0,,Disease/natural causes,Arabic,0.0,,Incomplete,2290,1997.0-1999.0,1.0,454,1.0,9.0,1997.0,7.0,1999.0,213.0,35.0,1397.0,0.0,1.0,1.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1023.0,581.0,1.0,0.0,0.0,0.0,0.0,77.0
21,Turkey,Middle East,455.0,,,,,Abdullah Öcalan,Abdullah Öcalan,Abdullah,Öcalan,Apo,,Turkey vs PKK,Partiya Karkerên Kurdistan (PKK)/People's Liberation Army of Kurdistan (ARGK)/Kongra-Gel/Kurdistan Freedom and Democracy Congress (KADEK)/People's Defense Forces (HPG),Kurdistan Workers' Party,537.0,Male,1948.0,,0.0,"Ömerli, Halfeti, Şanlıurfa Province, Turkey",30.0,36.0,Founded/Co-founded,0.0,Finished secondary,,,,0.0,0.0,1.0,32.0,0.0,Islam,0.0,1.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,"Turkish, Kurdish",0.0,0.0,Complete,6760,1984.0-2007.0,300.0,1765,1.0,8.0,1984.0,6.0,2007.0,159.0,333.0,1166.0,0.0,2.0,0.0,0.0,2.0,2.0,867.0,697.0,331.0,215.0,1.0,0.0,0.0,1.0,0,0.0,7.0,12551.0,640.0,0.0,0.0,0.0,1.0,0.0,59.0
22,Somalia,Sub-Saharan Africa,414.0,,,,,Abdullahi Yusuf Ahmed,Abdullahi Yusuf Ahmed,Abdullahi,Ahmed,,,Somalia vs SSDF,,,,Male,1934.0,2012.0,1.0,"Barta, Somalia",47.0,48.0,Founded/Co-founded,0.0,Obtained Bachelor's,Law and Military,Law,Military,0.0,0.0,1.0,,1.0,Islam,,1.0,0.0,0.0,Military,1.0,0.0,1.0,,1.0,1.0,5.0,Bachelor's,"Soviet Union, Italy",1.0,1.0,4.0,1.0,0.0,Disease/natural causes,Somali,0.0,0.0,Complete,1670,1982.0-1984.0,6.0,1562,1.0,1.0,1982.0,12.0,1984.0,141.0,209.0,1349.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,-3.0,1262.0,520.0,1.0,0.0,0.0,0.0,0.0,50.0
23,Philippines,South-Eastern Asia,368.0,,,,,Abdurajik Abubakar Janjalani,Janjalani,Abdurajik,Janjalani,,,Philippines vs ASG,Abu Sayyaf Group,Abu Sayyaf,45.0,Male,1959.0,1998.0,1.0,"Basilan Province, Philippines Sulu Archipelago",32.0,34.0,Founded/Co-founded,0.0,Obtained Bachelor's,Islamic Jurisprudence,Religion,,0.0,0.0,1.0,,,Islam,,1.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,1.0,7.0,Master's,"Saudi Arabia, Libya, Syria",1.0,0.0,2.0,0.0,0.0,KIA,"Tausug, Tagalog, Arabic, English",1.0,1.0,Complete,351,1993.0-1998.0,21.0,1384,1.0,5.0,1993.0,12.0,1998.0,112.0,249.0,1119.0,0.0,1.0,0.0,0.0,1.0,2.0,114.0,21.0,23.0,12.0,0.0,1.0,1.0,0.0,1,0.0,6.0,3443.0,840.0,0.0,1.0,0.0,0.0,0.0,39.0
24,Peru,South America,365.0,,,,,Manuel Rubén Abimael Guzmán Reynoso,Abimael Guzmán,Abimael,Guzmán,Chairman Gonzalo,,Peru vs SD,Sendero Luminoso,Shining Path,2.0,Male,1934.0,,0.0,"Arequipa, Peru",41.0,48.0,Founded/Co-founded,0.0,Obtained Bachelor's,Philosophy & Law,Law,Philosophy,0.0,0.0,1.0,29.0,0.0,Christianity,1.0,1.0,0.0,0.0,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,"Spanish, Quechua",0.0,0.0,Complete,3710,1982.0-1992.0,66.0,1365,1.0,8.0,1982.0,9.0,1992.0,95.0,235.0,1611.0,1.0,2.0,0.0,1.0,1.0,3.0,4530.0,3688.0,2039.0,917.0,0.0,1.0,0.0,0.0,0,0.0,0.0,3233.0,135.0,0.0,0.0,0.0,0.0,1.0,58.0
25,Iraq,Middle East,237.0,,,,,Wirya Salih,Abu Abdullah al-Shafi'i,Abu Abdullah,al-Shafi'i,Abu Abdullah al-Shafi'i,,Iraq vs Ansar al-Islam,Ansar al-Islam/Ansar ash-Sham,,113.0,Male,,,0.0,,,,Elected,,,,,,,,,,,Islam,,,,,,,1.0,1.0,,,,,,,1.0,,,0.0,,,"Kurdish, Arabic",0.0,0.0,Incomplete,742,2004.0-2007.0,10.0,946,1.0,1.0,2004.0,12.0,2007.0,62.0,443.0,1075.0,1.0,1.0,0.0,0.0,1.0,2.0,97.0,75.0,12.0,6.0,0.0,0.0,1.0,0.0,1,0.0,-5.0,3690.0,645.0,0.0,0.0,0.0,1.0,0.0,
26,Iraq,Middle East,240.0,,,,,Abd-al-Mun’im al-Badawi,Abu Ayyub al-Masri,Abu Ayyub,al-Masri,Abu Ayyub al-Masri; Abu Hamza al-Muhajir,Yussef Haddad Labib,Iraq vs ISI,Majlis Shura al-Mujahedin fil-'Iraq,Mujahedin Shura Council (MSC),10.0,Male,1968.0,2010.0,1.0,Egypt,38.0,38.0,Elected,0.0,Obtained Master's,Religion,Religion,,0.0,0.0,1.0,,1.0,Islam,,1.0,0.0,0.0,Religion,0.0,1.0,0.0,0.0,1.0,1.0,6.0,Master's,"Saudi Arabia, Pakistan, Jordan",1.0,0.0,3.0,0.0,0.0,Assassinated by external state,Arabic,0.0,0.0,Complete,657,2006.0-2010.0,9.0,955,2.0,6.0,2006.0,4.0,2010.0,62.0,448.0,1076.0,1.0,2.0,1.0,1.0,1.0,2.0,2090.0,1842.0,155.0,118.0,0.0,0.0,1.0,0.0,0,0.0,3.0,3946.0,645.0,0.0,0.0,0.0,1.0,0.0,42.0
27,Eritrea,Sub-Saharan Africa,138.0,,,Sheik,,Muhammed Ahmed,Abu Suhail,Muhammed,Ahmed,Abu Suhail,,Eritrea vs EIJM-AS,Harakat al-Khalas al-Islami/Harakat al-Jihad al-Islami al-Eritrea/Harakat al-Islah al-Islamiyyah al-Iritri,Eritrean Islamic Jihad Movement (EIJM),283.0,Male,,,,"Western Lowlands, Eritrea",,,Founded/Co-founded,0.0,,,,,,,,,,Islam,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Incomplete,53,1997.0-2003.0,7.0,2044,1.0,4.0,1997.0,12.0,2003.0,130.0,435.0,1343.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,-4.0,9832.0,531.0,1.0,0.0,0.0,0.0,0.0,
28,Iraq,Middle East,239.0,,,,,Hamid Dawud Mohamed Khalil al-Zawi,Abu Umar al-Baghdadi,Abu Umar,al-Baghdadi,Abu Umar al-Qurashi al-Baghdadi,Abu Hamza al-Baghdadi,Iraq vs ISI,Dawlat al-'Iraq al-Islamiyya/ad-Dawlah al-Islamiyya fil-'Iraq wash-Sham (Daesh)/ad-Dawlah al-Islamiyya,Islamic State of Iraq (ISI)/Islamic State of Iraq and the Levant (ISIL)/The Islamic State,10.0,Male,1969.0,2010.0,1.0,"Diyala, Iraq",37.0,,Unclear,0.0,Obtained Bachelor's,Police,Military,,0.0,0.0,1.0,,,Islam,1.0,1.0,0.0,0.0,Police,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Assassinated by external state,Arabic,0.0,0.0,Complete,6640,nan-nan,0.0,950,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,,,,,,,,,,
29,Nigeria,Sub-Saharan Africa,347.0,,,,,Abu Mohammed Abubakar bin Mohammad al-Sheikawi,Abubakr Shekau,Abubakr,Shekau,Abubakr Shekau,Darul Akeem wa Zamunda Tawheed,Nigeria vs Boko Haram,Boko Haram/Jama'at Ahl as-Sunnah lid-Da'awa wal-Jihad/Wilayat Gharb Afriqiyah,Boko Haram,122.0,Male,,,0.0,"Shekau, Nigeria",,,Appointed/Designated,0.0,Obtained Bachelor's,Theology,Religion,,0.0,0.0,1.0,,1.0,Islam,,0.0,0.0,1.0,Religion,0.0,1.0,1.0,,,0.0,0.0,,,1.0,0.0,,0.0,0.0,,"Hausa, Kanuri, Arabic",0.0,0.0,Complete,1090,2010.0-2011.0,5.0,1309,3.0,7.0,2010.0,12.0,2011.0,100.0,793.0,1935.0,1.0,1.0,0.0,0.0,1.0,2.0,266.0,239.0,77.0,53.0,,,1.0,0.0,1,0.0,4.0,1982.0,475.0,1.0,0.0,0.0,0.0,0.0,
30,Russia,Eastern Europe,383.0,,,,,Abulfaz Eltjibey,Abulfaz Eltjibey,Abulfaz,Eltjibey,Abulfaz Oedirqulu Aliyev,,Russia vs APF,APF,,,Male,1938.0,2000.0,1.0,"Keleki, Azerbaijan (Former USSR)",51.0,52.0,Elected,0.0,Obtained Doctorate,"Oriental Studies, Poetry",Other,,0.0,0.0,1.0,,1.0,Islam,,1.0,0.0,0.0,Education,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Doctorate,Egypt,0.0,1.0,2.0,1.0,0.0,Disease/natural causes,"Arabic, Russian, Azerbaijani",0.0,0.0,Complete,620,1990.0-1990.0,1.0,1463,1.0,1.0,1990.0,1.0,1990.0,182.0,373.0,1174.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,3.0,19603.0,365.0,0.0,0.0,1.0,0.0,0.0,52.0
31,India,South Asia,206.0,,,,,Achamba Singh,Achamba,Achamba,Singh,Achamba,Meisnam Biren; Meisnam Biren; Oja Biren; Chamba Luwang,India vs PREPAK,People's Revolutionary Party of Kangleipak,,,Male,,,,,,,Unclear,0.0,,,,,,,,,,Hinduism,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,11,2008.0-2009.0,3.0,813,1.0,1.0,2008.0,12.0,2009.0,152.0,766.0,1161.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,,0.0,0.0,0,3.0,7.0,3228.0,750.0,0.0,1.0,0.0,0.0,0.0,
