leadercode,rolecode,professionaltitle,militaryrank,culturaltitle,religioustitle,fullbirthname,popularname,nameone,nametwo,nomdeguerrekunya,alsoknownasaka,stname,confdesc,groupname,altname,revmodcode,gender,yearofbirth,yearofdeath,dead,placeofbirth,leadershipage,dynamicage,entrymethod,powersharing,education,areaofstudy,cat_areaofstudy1,cat_areaofstudy2,educusuk,educwest,married,marriageage,children,religion,family,affiliation,physical,mental,occupation,military,nsmilitary,combat,govpost,exile,studyab,studyab_yr_total,studyab_level,studyab_countries,milab,workab,expabroad,prison,assassin,deathcause,languages,english,polyglot,status,gscholar,year,duration,observation,ldrnum,ldrstwar_month,ldrstwar_year,ldrendwar_month,ldrendwar_year,conflictid,dyadid,actorid,incompatibility,intensitylevel,terrcont,prevactive,rebstrength,strengthcent,k_a,km_a,t_a,tm_a,diaspora,finance,nagtheo,nag_support,islamist,stdcinc,xpolity,rgdppc,ccode,africa,asia,europe,mena,americas,last_dynamicage
12,486.0,none,none,none,none,Abdul Fattah Ismail,Abdul Fattah Ismail,Abdul Fattah,Ismail,none,none,Yemen [South],Yemen(S) vs YSP,Yemeni Socialist Party,YSP,NaN,Male,1936.0,1986.0,1.0,"Hujairiah Region, North Yemen",49.0,50.0,Unclear,1.0,Obtained Bachelor's,Education,Teaching,none,0.0,0.0,0.0,NaN,0.0,Islam,0.0,1.0,0.0,0.0,Career politician,0.0,1.0,NaN,1.0,1.0,1.0,4.0,Bachelor's,Yemen,0.0,0.0,2.0,NaN,0.0,KIA,Arabic,0.0,0.0,Complete,1470,1986.0-1986.0,1.0,1883,1.0,1.0,1986.0,1.0,1986.0,164.0,564.0,1167.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,30981.0,680.0,0.0,0.0,0.0,1.0,0.0,50.0
13,23.0,none,none,none,none,Abdul Malik Drukdal,Abdul Malik Drukdal,Abdul Malik,Drukdal,Abu Mus'ab Abdul Wadud,none,Algeria,Algeria vs GSPC (AQIM),Tanzim al-Qaeda fi Bilad al-Maghreb al-Islami/Groupe Salafiste pour la Prédication et le Combat (GSPC),al-Qaeda in the Islamic Maghreb (AQIM)/Salafi Group for Preaching and Fighting,54.0,Male,1970.0,NaN,0.0,"Mefta, Blidad Region, Algeria",34.0,34.0,Unclear,0.0,Obtained Bachelor's,Mathematics and Chemistry,Science,Math,0.0,0.0,0.0,NaN,0.0,Islam,0.0,0.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,Arabic,0.0,0.0,Complete,167,2004.0-2011.0,79.0,1110,3.0,6.0,2004.0,12.0,2011.0,191.0,4.0,1391.0,1.0,1.0,0.0,1.0,2.0,2.0,183.0,99.0,95.0,38.0,0.0,0.0,1.0,0.0,1,0.0,-2.0,1961.0,615.0,1.0,0.0,0.0,1.0,0.0,41.0
14,227.0,none,none,none,Emir,Abdul Malik Rigi,Abdul Malik Rigi,Abdul Malik,Rigi,Abdul Malik Baloch,none,Iran,Iran vs Jundullah,Jundallah,Soldiers of Allah,530.0,Male,1983.0,2010.0,1.0,"Sistan & Balochistan, Iran",20.0,23.0,Founded/Co-founded,0.0,Finished secondary,Islam,Religion,none,0.0,0.0,1.0,NaN,1.0,Islam,0.0,0.0,0.0,0.0,Activist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,0.0,Executed,"Balochi, Farsi",0.0,0.0,Complete,146,2006.0-2010.0,10.0,908,1.0,1.0,2006.0,2.0,2010.0,143.0,640.0,1153.0,1.0,1.0,0.0,0.0,1.0,2.0,117.0,97.0,8.0,5.0,0.0,0.0,0.0,1.0,1,0.0,-4.0,11419.0,630.0,0.0,0.0,0.0,1.0,0.0,27.0
15,9.0,none,none,none,none,Abdul Rabb al-Rasul Sayyaf,Abdul al-Rasul Sayyaf,Abdul,Sayyaf,none,none,Afghanistan,Afghanistan vs Ittihad,Ittihad,none,NaN,Male,1946.0,NaN,0.0,"Paghman, Kabul Province, Afghanistan",35.0,35.0,Founded/Co-founded,0.0,Obtained Master's,Islam (Hadith),Religion,none,0.0,0.0,0.0,NaN,0.0,Islam,0.0,1.0,0.0,0.0,Education,0.0,1.0,1.0,0.0,1.0,1.0,2.0,Master's,Egypt,0.0,0.0,2.0,1.0,0.0,none,"Pashto, Arabic, Dari, English, Urdu",1.0,1.0,Complete,29,1981.0-1988.0,36.0,52,1.0,7.0,1981.0,12.0,1988.0,137.0,735.0,1139.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,-3.0,908.0,700.0,0.0,1.0,0.0,0.0,0.0,42.0
16,226.0,none,none,none,none,Abdul Rahman Haji Ahmadi,Haji Ahmadi,Haji,Ahmadi,none,none,Iran,Iran vs JPAK,Party of Free Existence in Kurdistan (PJAK)/East Kurdistan Defense Forces (HRK),PJAK,194.0,Male,1941.0,NaN,NaN,Iran,63.0,64.0,Founded/Co-founded,0.0,Obtained Bachelor's,Agricultural Engineer,Engineering,Agriculture,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,Engineering,0.0,0.0,0.0,0.0,0.0,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,Kurdish,0.0,0.0,Incomplete,575,2005.0-2011.0,28.0,903,1.0,1.0,2005.0,12.0,2011.0,143.0,459.0,1152.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-4.0,11370.0,630.0,0.0,0.0,0.0,1.0,0.0,70.0
17,12.0,none,none,none,none,Abdul Rashid Dostum,Abdul Rashid Dostum,Abdul Rashid,Dostum,none,none,Afghanistan,Afghanistan vs Junbish-I Milli-yi Islami,Junbish-I Milli-yi Islami,none,NaN,Male,1954.0,NaN,0.0,"Khojah Dukoh, Djodzhan Province, Afghanistan",37.0,39.0,Founded/Co-founded,0.0,Obtained Bachelor's,Military Studies,Military,none,0.0,0.0,1.0,31.0,1.0,Islam,0.0,0.0,0.0,0.0,Laborer,1.0,1.0,1.0,0.0,0.0,1.0,4.0,Bachelor's,Soviet Union,1.0,0.0,2.0,0.0,0.0,none,"Dari, Arabic",0.0,0.0,Complete,1770,1993.0-1995.0,6.0,65,1.0,3.0,1993.0,12.0,1995.0,137.0,422.0,1144.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-3.0,709.0,700.0,0.0,1.0,0.0,0.0,0.0,41.0
18,437.0,none,none,none,none,Abdul Wahid al-Nur,Abdul Wahid al-Nur,Abdul Wahid,al-Nur,none,none,Sudan,Sudan vs SLM/A,Sudan Liberation Movement/Army,SLM/A,NaN,Male,1968.0,NaN,0.0,"Zalingei, West Darfur, Sudan",24.0,35.0,Founded/Co-founded,0.0,Finished secondary,none,none,none,0.0,0.0,0.0,NaN,0.0,Islam,NaN,0.0,0.0,0.0,Activist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,"Fur, English",1.0,0.0,Complete,295,2003.0-2011.0,37.0,1682,1.0,4.0,2003.0,12.0,2011.0,113.0,433.0,1316.0,1.0,2.0,1.0,1.0,2.0,1.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0,0.0,-2.0,2308.0,625.0,0.0,0.0,0.0,1.0,0.0,43.0
19,162.0,none,none,none,none,Abdulahi Hassan Mahmud,Abdulahi Hassan Mahmud,Abdulahi,Mahmud,none,none,Ethiopia,Ethiopia vs WSLF,NaN,none,NaN,Male,NaN,NaN,NaN,NaN,NaN,NaN,Seized power,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,3110,1976.0-1981.0,21.0,642,1.0,9.0,1976.0,2.0,1981.0,133.0,522.0,1345.0,0.0,2.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3.0,688.0,530.0,1.0,0.0,0.0,0.0,0.0,NaN
20,111.0,none,none,none,none,Abdullah Ibrahim,Abdullah Ibrahim,Abdullah,Ibrahim,none,none,Comoros,Comoros vs MPA,Republic of Anjouan,none,NaN,Male,1922.0,2018.0,1.0,"Mutsamudu, Comoros",75.0,75.0,none,0.0,none,none,none,none,NaN,NaN,1.0,NaN,1.0,Islam,NaN,NaN,0.0,0.0,Business/entrepeneurship,1.0,NaN,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,0.0,NaN,Disease/natural causes,Arabic,0.0,NaN,Incomplete,2290,1997.0-1999.0,1.0,454,1.0,9.0,1997.0,7.0,1999.0,213.0,35.0,1397.0,0.0,1.0,1.0,0.0,4.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-3.0,1023.0,581.0,1.0,0.0,0.0,0.0,0.0,77.0
21,455.0,none,none,none,none,Abdullah Öcalan,Abdullah Öcalan,Abdullah,Öcalan,Apo,none,Turkey,Turkey vs PKK,Partiya Karkerên Kurdistan (PKK)/People's Liberation Army of Kurdistan (ARGK)/Kongra-Gel/Kurdistan Freedom and Democracy Congress (KADEK)/People's Defense Forces (HPG),Kurdistan Workers' Party,537.0,Male,1948.0,NaN,0.0,"Ömerli, Halfeti, Şanlıurfa Province, Turkey",30.0,36.0,Founded/Co-founded,0.0,Finished secondary,none,none,none,0.0,0.0,1.0,32.0,0.0,Islam,0.0,1.0,0.0,0.0,Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,none,"Turkish, Kurdish",0.0,0.0,Complete,6760,1984.0-2007.0,300.0,1765,1.0,8.0,1984.0,6.0,2007.0,159.0,333.0,1166.0,0.0,2.0,0.0,0.0,2.0,2.0,867.0,697.0,331.0,215.0,1.0,0.0,0.0,1.0,0,0.0,7.0,12551.0,640.0,0.0,0.0,0.0,1.0,0.0,59.0
22,414.0,none,none,none,none,Abdullahi Yusuf Ahmed,Abdullahi Yusuf Ahmed,Abdullahi,Ahmed,none,none,Somalia,Somalia vs SSDF,NaN,none,NaN,Male,1934.0,2012.0,1.0,"Barta, Somalia",47.0,48.0,Founded/Co-founded,0.0,Obtained Bachelor's,Law and Military,Law,Military,0.0,0.0,1.0,NaN,1.0,Islam,NaN,1.0,0.0,0.0,Military,1.0,0.0,1.0,NaN,1.0,1.0,5.0,Bachelor's,"Soviet Union, Italy",1.0,1.0,4.0,1.0,0.0,Disease/natural causes,Somali,0.0,0.0,Complete,1670,1982.0-1984.0,6.0,1562,1.0,1.0,1982.0,12.0,1984.0,141.0,209.0,1349.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,-3.0,1262.0,520.0,1.0,0.0,0.0,0.0,0.0,50.0
23,368.0,none,none,none,none,Abdurajik Abubakar Janjalani,Janjalani,Abdurajik,Janjalani,none,none,Philippines,Philippines vs ASG,Abu Sayyaf Group,Abu Sayyaf,45.0,Male,1959.0,1998.0,1.0,"Basilan Province, Philippines Sulu Archipelago",32.0,34.0,Founded/Co-founded,0.0,Obtained Bachelor's,Islamic Jurisprudence,Religion,none,0.0,0.0,1.0,NaN,NaN,Islam,NaN,1.0,0.0,0.0,Activist,0.0,1.0,1.0,0.0,0.0,1.0,7.0,Master's,"Saudi Arabia, Libya, Syria",1.0,0.0,2.0,0.0,0.0,KIA,"Tausug, Tagalog, Arabic, English",1.0,1.0,Complete,351,1993.0-1998.0,21.0,1384,1.0,5.0,1993.0,12.0,1998.0,112.0,249.0,1119.0,0.0,1.0,0.0,0.0,1.0,2.0,114.0,21.0,23.0,12.0,0.0,1.0,1.0,0.0,1,0.0,6.0,3443.0,840.0,0.0,1.0,0.0,0.0,0.0,39.0
24,365.0,none,none,none,none,Manuel Rubén Abimael Guzmán Reynoso,Abimael Guzmán,Abimael,Guzmán,Chairman Gonzalo,none,Peru,Peru vs SD,Sendero Luminoso,Shining Path,2.0,Male,1934.0,NaN,0.0,"Arequipa, Peru",41.0,48.0,Founded/Co-founded,0.0,Obtained Bachelor's,Philosophy & Law,Law,Philosophy,0.0,0.0,1.0,29.0,0.0,Christianity,1.0,1.0,0.0,0.0,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,1.0,0.0,none,"Spanish, Quechua",0.0,0.0,Complete,3710,1982.0-1992.0,66.0,1365,1.0,8.0,1982.0,9.0,1992.0,95.0,235.0,1611.0,1.0,2.0,0.0,1.0,1.0,3.0,4530.0,3688.0,2039.0,917.0,0.0,1.0,0.0,0.0,0,0.0,0.0,3233.0,135.0,0.0,0.0,0.0,0.0,1.0,58.0
25,237.0,none,none,none,none,Wirya Salih,Abu Abdullah al-Shafi'i,Abu Abdullah,al-Shafi'i,Abu Abdullah al-Shafi'i,none,Iraq,Iraq vs Ansar al-Islam,Ansar al-Islam/Ansar ash-Sham,none,113.0,Male,NaN,NaN,0.0,NaN,NaN,NaN,Elected,NaN,none,none,none,none,NaN,NaN,NaN,NaN,NaN,Islam,NaN,NaN,NaN,NaN,none,NaN,1.0,1.0,NaN,NaN,NaN,NaN,none,none,1.0,NaN,NaN,0.0,NaN,none,"Kurdish, Arabic",0.0,0.0,Incomplete,742,2004.0-2007.0,10.0,946,1.0,1.0,2004.0,12.0,2007.0,62.0,443.0,1075.0,1.0,1.0,0.0,0.0,1.0,2.0,97.0,75.0,12.0,6.0,0.0,0.0,1.0,0.0,1,0.0,-5.0,3690.0,645.0,0.0,0.0,0.0,1.0,0.0,NaN
26,240.0,none,none,none,none,Abd-al-Mun’im al-Badawi,Abu Ayyub al-Masri,Abu Ayyub,al-Masri,Abu Ayyub al-Masri; Abu Hamza al-Muhajir,Yussef Haddad Labib,Iraq,Iraq vs ISI,Majlis Shura al-Mujahedin fil-'Iraq,Mujahedin Shura Council (MSC),10.0,Male,1968.0,2010.0,1.0,Egypt,38.0,38.0,Elected,0.0,Obtained Master's,Religion,Religion,none,0.0,0.0,1.0,NaN,1.0,Islam,NaN,1.0,0.0,0.0,Religion,0.0,1.0,0.0,0.0,1.0,1.0,6.0,Master's,"Saudi Arabia, Pakistan, Jordan",1.0,0.0,3.0,0.0,0.0,Assassinated by external state,Arabic,0.0,0.0,Complete,657,2006.0-2010.0,9.0,955,2.0,6.0,2006.0,4.0,2010.0,62.0,448.0,1076.0,1.0,2.0,1.0,1.0,1.0,2.0,2090.0,1842.0,155.0,118.0,0.0,0.0,1.0,0.0,0,0.0,3.0,3946.0,645.0,0.0,0.0,0.0,1.0,0.0,42.0
27,138.0,none,none,Sheik,none,Muhammed Ahmed,Abu Suhail,Muhammed,Ahmed,Abu Suhail,none,Eritrea,Eritrea vs EIJM-AS,Harakat al-Khalas al-Islami/Harakat al-Jihad al-Islami al-Eritrea/Harakat al-Islah al-Islamiyyah al-Iritri,Eritrean Islamic Jihad Movement (EIJM),283.0,Male,NaN,NaN,NaN,"Western Lowlands, Eritrea",NaN,NaN,Founded/Co-founded,0.0,none,none,none,none,NaN,NaN,NaN,NaN,NaN,Islam,NaN,NaN,NaN,NaN,none,NaN,1.0,1.0,NaN,NaN,NaN,NaN,none,none,NaN,NaN,NaN,NaN,NaN,none,none,NaN,NaN,Incomplete,53,1997.0-2003.0,7.0,2044,1.0,4.0,1997.0,12.0,2003.0,130.0,435.0,1343.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,-4.0,9832.0,531.0,1.0,0.0,0.0,0.0,0.0,NaN
28,239.0,none,none,none,none,Hamid Dawud Mohamed Khalil al-Zawi,Abu Umar al-Baghdadi,Abu Umar,al-Baghdadi,Abu Umar al-Qurashi al-Baghdadi,Abu Hamza al-Baghdadi,Iraq,Iraq vs ISI,Dawlat al-'Iraq al-Islamiyya/ad-Dawlah al-Islamiyya fil-'Iraq wash-Sham (Daesh)/ad-Dawlah al-Islamiyya,Islamic State of Iraq (ISI)/Islamic State of Iraq and the Levant (ISIL)/The Islamic State,10.0,Male,1969.0,2010.0,1.0,"Diyala, Iraq",37.0,NaN,Unclear,0.0,Obtained Bachelor's,Police,Military,none,0.0,0.0,1.0,NaN,NaN,Islam,1.0,1.0,0.0,0.0,Police,1.0,1.0,1.0,1.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,Assassinated by external state,Arabic,0.0,0.0,Complete,6640,nan-nan,0.0,950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
